,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link,only_city,low,heigh,mean_money
24,python开发,企,5-7万,苏州,统招本科,经验不限,投递后：5个工作日内反馈,2017年12月08日,苏州派维斯信息科技有限公司,计算机软件,1-49人,https://www.liepin.com/job/1910935574.shtml,苏州,5,7,6.0
25,Python 后端-实习,企,4-6万,北京,学历不限,经验不限,投递后：5个工作日内反馈,2017年12月08日,北京敏数科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/199366423.shtml,北京,4,6,5.0
26,中级python开发工程师,企,17-30万,北京,大专及以上,2年工作经验,投递后：1个工作日内反馈,2017年12月08日,近邻宝科技有限公司,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/198633614.shtml,北京,17,30,23.5
27,python后端开发,企,32-40万,北京,大专及以上,3年工作经验,投递后：10个工作日内反馈,2017年12月08日,北京敏数科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/198796869.shtml,北京,32,40,36.0
28,python工程师,企,18-30万,合肥,本科及以上,5年工作经验,投递后：5个工作日内反馈,2017年12月08日,合肥市合趣网络科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910205224.shtml,合肥,18,30,24.0
29,python开发工程师,企,面议,上海-浦东新区,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月08日,上海期货信息技术有限公司,基金/证券/期货/投资,100-499人,https://www.liepin.com/job/199451534.shtml,上海,面议,面议,面议
30,技术工程部-python开发工程师-北京-02155,企,35-56万,北京,本科及以上,4年工作经验,投递后：5个工作日内反馈,2017年12月08日,搜狗,互联网/移动互联网/电子商务,2000-5000人,https://www.liepin.com/job/198704734.shtml,北京,35,56,45.5
31,Principal Programmer Analyst-Python/Java,企,面议,深圳,本科及以上,5年工作经验,投递后：2个工作日内反馈,2017年12月08日,Oracle甲骨文,计算机软件,10000人以上,https://www.liepin.com/job/199672730.shtml,深圳,面议,面议,面议
32,Principal Programmer Analyst-Python/Java,企,面议,北京,本科及以上,5年工作经验,投递后：2个工作日内反馈,2017年12月08日,Oracle甲骨文,计算机软件,10000人以上,https://www.liepin.com/job/199672728.shtml,北京,面议,面议,面议
33,Principal Programmer Analyst-Python/Java,企,面议,苏州,本科及以上,5年工作经验,投递后：2个工作日内反馈,2017年12月08日,Oracle甲骨文,计算机软件,10000人以上,https://www.liepin.com/job/199672731.shtml,苏州,面议,面议,面议
34,广告后端开发工程师（Python/Node.js）,企,12-18万,上海,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月08日,Wicresoft,IT服务/系统集成,2000-5000人,https://www.liepin.com/job/1910623204.shtml,上海,12,18,15.0
35,高级Python研发工程师,企,17-30万,北京,统招本科,2年工作经验,投递后：1个工作日内反馈,2017年12月08日,近邻宝科技有限公司,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/197840871.shtml,北京,17,30,23.5
36,Python开发工程师,企,24-36万,深圳-南山区,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月05日,盖威科技,计算机软件,100-499人,https://www.liepin.com/job/1911010682.shtml,深圳,24,36,30.0
37,Python高级开发工程师,企,7-10万,南通,学历不限,1年工作经验,投递后：5个工作日内反馈,2017年12月05日,帝联科技,通信(设备/运营/增值),500-999人,https://www.liepin.com/job/1910605874.shtml,南通,7,10,8.5
38,Python研发工程师,企,18-24万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,微诺时代(北京)科技股份有限公司,IT服务/系统集成,50-99人,https://www.liepin.com/job/198847247.shtml,北京,18,24,21.0
39,python高级开发工程师,企,24-36万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,北京安人心智科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910829826.shtml,北京,24,36,30.0
40,服务端开发工程师（Python）,企,20-27万,北京-海淀区,统招本科,2年工作经验,投递后：2个工作日内反馈,2017年12月05日,海致,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/194953126.shtml,北京,20,27,23.5
41,Python高级开发工程师,企,24-48万,北京-丰台区,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,拓天伟业(北京)资产管理集团有限公司,基金/证券/期货/投资,500-999人,https://www.liepin.com/job/199868788.shtml,北京,24,48,36.0
42,后端开发（JAVA，C#，Python）,企,11-17万,成都,学历不限,1年工作经验,投递后：5个工作日内反馈,2017年12月05日,思特沃克软件技术有限公司,互联网/移动互联网/电子商务,2000-5000人,https://www.liepin.com/job/196290063.shtml,成都,11,17,14.0
43,高级开发工程师（C++或Python）,企,12-19万,深圳-福田区,大专及以上,2年工作经验,投递后：10个工作日内反馈,2017年12月05日,深圳证券通信有限公司,IT服务/系统集成,500-999人,https://www.liepin.com/job/1910411483.shtml,深圳,12,19,15.5
44,Python开发工程师-WEB-DNJS0007,企,14-29万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,北京多牛互动传媒股份有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199685571.shtml,北京,14,29,21.5
