,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
1,Python开发工程师,企,12-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年12月01日,洋浦科技,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/198936257.shtml
2,Python资深开发,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",本科及以上,4年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月09日,有缘网,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910824069.shtml
3,python开发工程师,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月06日,华胜信泰信息产业发展有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",100-499人,https://www.liepin.com/job/1910737148.shtml
4,python教学经理/python高级讲师,企,18-24万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年10月30日,北京华清远见科技发展有限公司,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910622629.shtml
5,Python后台开发师,企,35-50万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月20日,招才猫科技（北京）,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",未知,https://www.liepin.com/job/1910554193.shtml
6,Python开发工程师-大数据方向,企,12-24万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月24日,北京高思博乐教育科技股份有限公司,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",1000-2000人,https://www.liepin.com/job/1910460533.shtml
7,Python后端工程师,企,14-29万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年10月09日,复华投资有限公司,"<a class=""industry-link"" href=""/company/000-150/"" onclick=""return false;"" target=""_blank"">基金/证券/期货/投资</a>",50-99人,https://www.liepin.com/job/1910415834.shtml
8,高级测试工程师（会Python或Java）,企,25-50万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,5年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年09月30日,好未来教育,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",5000-10000人,https://www.liepin.com/job/1910338314.shtml
9,Python服务端开发工程师,企,20-39万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年09月25日,必连科技,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",50-99人,https://www.liepin.com/job/1910265557.shtml
10,Python高级工程师,企,30-54万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,5年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月26日,海天地数码科技,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",50-99人,https://www.liepin.com/job/1910264983.shtml
