,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
11,python开发,企,12-24万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年09月24日,文思海辉,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",10000人以上,https://www.liepin.com/job/1910255574.shtml
12,Python开发岗,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sz/zhaopin/"">深圳</a>",大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月01日,CMGE中手游,"<a class=""industry-link"" href=""/company/000-420/"" onclick=""return false;"" target=""_blank"">网络游戏</a>",1000-2000人,https://www.liepin.com/job/1910115720.shtml
13,高级Python开发,企,24-42万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年09月18日,有利网,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1000-2000人,https://www.liepin.com/job/1910098956.shtml
14,YF-测试开发工程师(Python Web开发)-01,企,11-18万,未知,统招本科,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月07日,海康威视,"<a class=""industry-link"" href=""/company/000-050/"" onclick=""return false;"" target=""_blank"">电子技术/半导体/集成电路</a>",10000人以上,https://www.liepin.com/job/198638781.shtml
15,Python开发工程师,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京-海淀区</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年10月25日,泛测环境,"<a class=""industry-link"" href=""/company/000-300/"" onclick=""return false;"" target=""_blank"">环保</a>",1-49人,https://www.liepin.com/job/197497262.shtml
16,实习python开发,企,4-7万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",本科及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月09日,水木控股集团,"<a class=""industry-link"" href=""/company/000-150/"" onclick=""return false;"" target=""_blank"">基金/证券/期货/投资</a>",100-499人,https://www.liepin.com/job/199646237.shtml
17,【Python开发】攻城狮,企,11-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年10月27日,北京罗威亚科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1-49人,https://www.liepin.com/job/1910511482.shtml
18,Python高级工程师,企,12-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月31日,迅达云成,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",50-99人,https://www.liepin.com/job/199382380.shtml
19,python开发工程师,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月10日,容联易通信息北京,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910424878.shtml
20,Python开发工程师,企,18-36万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",学历不限,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年09月27日,北京爱特曼智能技术有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",1-49人,https://www.liepin.com/job/1910266541.shtml
21,python工程师,企,14-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>",大专及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月03日,多迪互联网集团,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",500-999人,https://www.liepin.com/job/1910081449.shtml
22,Python 开发工程师,企,12-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sh/zhaopin/"">上海</a>",统招本科,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月30日,上海恒驰信息系统有限公司,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",100-499人,https://www.liepin.com/job/199419553.shtml
23,Python,企,18-30万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月08日,MeChat美洽,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/197285084.shtml
24,python开发工程师（中级）,企,11-22万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sh/zhaopin/"">上海</a>",大专及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月03日,天玑科技,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",1000-2000人,https://www.liepin.com/job/1910753986.shtml
25,Python开发,企,12-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>",大专及以上,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月08日,多迪互联网集团,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",500-999人,https://www.liepin.com/job/1910552719.shtml
26,服务器开发工程师（Python）-00008,企,18-48万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京-海淀区</a>",本科及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月10日,春雨医生,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/194122589.shtml
27,python开发工程师,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,4年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月09日,华为,"<a class=""industry-link"" href=""/company/000-060/"" onclick=""return false;"" target=""_blank"">通信(设备/运营/增值)</a>",10000人以上,https://www.liepin.com/job/194951040.shtml
28,Python 数据科学家,企,18-42万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/hz/zhaopin/"">杭州</a>",本科及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月06日,杭州七炅信息科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1-49人,https://www.liepin.com/job/198717981.shtml
29,python工程师,企,20-30万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sz/zhaopin/"">深圳</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月08日,深圳众禄金融控股股份有限公司,"<a class=""industry-link"" href=""/company/000-150/"" onclick=""return false;"" target=""_blank"">基金/证券/期货/投资</a>",100-499人,https://www.liepin.com/job/1910813952.shtml
30,python运营开发高级工程师（深圳）,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sz/zhaopin/"">深圳</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月06日,腾讯,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",10000人以上,https://www.liepin.com/job/1910785370.shtml
31,高级Python工程师,企,18-30万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sh/zhaopin/"">上海</a>",本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月03日,寻仟信息,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",50-99人,https://www.liepin.com/job/1910756679.shtml
32,Python交易开发工程师,企,24-35万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sz/zhaopin/"">深圳</a>",本科及以上,4年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年10月31日,盖威科技,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",100-499人,https://www.liepin.com/job/1910706342.shtml
33,后端开发工程师（Python）,企,24-36万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sh/zhaopin/"">上海</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月07日,触宝科技,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910625116.shtml
34,python工程师,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sh/zhaopin/"">上海</a>",本科及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年10月23日,上海基分文化传播,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910589529.shtml
35,运维开发工程师【python / PHP】,企,11-22万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/xian/zhaopin/"">西安</a>",学历不限,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月03日,Yeahmobi,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910455326.shtml
36,安全研究院--python开发工程师,企,18-30万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",本科及以上,3年工作经验,未知,2017年11月06日,360,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",2000-5000人,https://www.liepin.com/job/1910454572.shtml
37,资深Python开发工程师,企,35-45万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",统招本科,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月11日,FreeWheel 飞维美地信息技术(北京)有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",500-999人,https://www.liepin.com/job/1910442826.shtml
38,Python开发工程师,企,13-21万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/cd/zhaopin/"">成都</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月12日,成都信必优信息技术有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",100-499人,https://www.liepin.com/job/1910439666.shtml
39,Python开发工程师,企,12-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/wuhan/zhaopin/"">武汉-洪山区</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月05日,蓝泰源,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",100-499人,https://www.liepin.com/job/1910380384.shtml
40,高级自动化测试（Python/Java，国外项目）,企,16-21万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/cd/zhaopin/"">成都</a>",本科及以上,5年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年09月29日,成都信必优信息技术有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",100-499人,https://www.liepin.com/job/1910327463.shtml
41,python高级讲师,企,18-24万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京</a>",大专及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月24日,北京华清远见科技发展有限公司,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910300796.shtml
42,Python高级开发工程师,企,24-36万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/sh/zhaopin/"">上海</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年10月31日,小水滴,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910300753.shtml
43,Python后端,企,12-18万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/suzhou/zhaopin/"">苏州-工业园</a>",本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月08日,爱调研,"<a class=""industry-link"" href=""/company/000-120/"" onclick=""return false;"" target=""_blank"">专业服务(咨询/财会/法律/翻译等)</a>",100-499人,https://www.liepin.com/job/1910272856.shtml
44,Python/Go开发工程师-北京-00395,企,12-30万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/bj/zhaopin/"">北京-海淀区</a>",本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年09月24日,北京比特大陆科技有限公司,"<a class=""industry-link"" href=""/company/000-050/"" onclick=""return false;"" target=""_blank"">电子技术/半导体/集成电路</a>",100-499人,https://www.liepin.com/job/1910260148.shtml
45,python开发,企,12-24万,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/xian/zhaopin/"">西安-高新区</a>",统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年09月24日,文思海辉,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",10000人以上,https://www.liepin.com/job/1910255575.shtml
46,资深Python服务端研发工程师,企,面议,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/hz/zhaopin/"">杭州</a>",本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年09月19日,新华智云科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910194596.shtml
