,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
84,Python开发工程师(长沙),企,7-18万,长沙,本科及以上,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,康通电子,"<a class=""industry-link"" href=""/company/000-050/"" onclick=""return false;"" target=""_blank"">电子技术/半导体/集成电路</a>",100-499人,https://www.liepin.com/job/1910455408.shtml
85,python开发工程师,企,21-35万,深圳,统招本科,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月21日,和讯华谷,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910468080.shtml
86,大数据工程师（Python 爬虫）,企,面议,广州-萝岗区,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,健客网,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1000-2000人,https://www.liepin.com/job/198932334.shtml
87,python（成都）,企,12-24万,成都-高新区,统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年12月11日,安恒信息技术,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",500-999人,https://www.liepin.com/job/199053579.shtml
88,python开发工程师（爬虫方向）,企,30-42万,上海,大专及以上,5年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月21日,宝尊电商,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",2000-5000人,https://www.liepin.com/job/1910981708.shtml
89,Python工程师,企,10-20万,苏州-工业园,大专及以上,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月21日,苏州东湾信息科技有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",1-49人,https://www.liepin.com/job/1910983051.shtml
90,python讲师,企,30-36万,成都-武侯区,大专及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910981310.shtml
91,Python讲师,企,24-48万,大连,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910981313.shtml
92,python讲师,企,30-36万,广州-天河区,大专及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910981311.shtml
93,Python讲师,企,24-48万,长沙,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910981308.shtml
94,python讲师,企,30-36万,杭州,大专及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910981309.shtml
95,python技术总监,企,60-96万,北京,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月21日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910968090.shtml
96,Python讲师,企,24-48万,北京,本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月21日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910968001.shtml
97,Python开发工程师,企,18-36万,北京-海淀区,统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月21日,北京全品文教科技股份有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",500-999人,https://www.liepin.com/job/197689199.shtml
98,Python老师,企,24-36万,北京,大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月20日,北京易联致远无线技术有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910962576.shtml
99,python助教老师（项目经理）,企,8-16万,深圳,大专及以上,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月20日,北京千锋互联科技,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/199811546.shtml
100,python工程师（中级）,企,面议,北京,统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年12月03日,新博卓畅技术(北京)有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",100-499人,https://www.liepin.com/job/199649331.shtml
101,Python开发工程师,企,12-24万,北京,大专及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月17日,北京亿隆汇诚投资管理有限责任公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910409086.shtml
102,资深Python开发工程师,企,22-30万,上海-普陀区,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月17日,饿了么,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",10000人以上,https://www.liepin.com/job/1910900233.shtml
103,资深Python工程师,企,面议,上海-普陀区,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月17日,饿了么,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",10000人以上,https://www.liepin.com/job/1910900071.shtml
104,python开发,企,面议,西安-高新区,统招本科,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年12月02日,中软国际科技,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",1000-2000人,https://www.liepin.com/job/1910216244.shtml
105,Python 运维开发工程师,企,24-48万,北京,本科及以上,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月15日,新浪微博,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",500-999人,https://www.liepin.com/job/1910906244.shtml
106,Python工程师,企,7-14万,广西,大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月15日,广西贝加美母婴服务有限公司,"<a class=""industry-link"" href=""/company/000-280/"" onclick=""return false;"" target=""_blank"">医疗/保健/美容/卫生服务</a>",100-499人,https://www.liepin.com/job/1910404789.shtml
107,高级python研发工程师,企,面议,北京-海淀区,本科及以上,1年工作经验,未知,2017年11月15日,今日头条,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1000-2000人,https://www.liepin.com/job/1910901647.shtml
108,Java/Python/C#网站后台开发,企,面议,广州-天河区,统招本科,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月15日,网易集团,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",10000人以上,https://www.liepin.com/job/194923038.shtml
109,Python工程师,企,12-18万,苏州-工业园,本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月15日,爱调研,"<a class=""industry-link"" href=""/company/000-120/"" onclick=""return false;"" target=""_blank"">专业服务(咨询/财会/法律/翻译等)</a>",100-499人,https://www.liepin.com/job/1910909454.shtml
110,移动平台后端主程（Go/Python）,企,20-39万,北京-东城区,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月14日,北京乐城堡科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1-49人,https://www.liepin.com/job/1910877806.shtml
111,python开发,企,10-20万,武汉-江夏区,大专及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月14日,中软国际科技,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",1000-2000人,https://www.liepin.com/job/198178259.shtml
112,python开发工程师,企,面议,北京,统招本科,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月14日,爱奇艺,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",2000-5000人,https://www.liepin.com/job/1910891137.shtml
113,python开发工程师,企,12-18万,武汉,大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月14日,中软国际科技,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",1000-2000人,https://www.liepin.com/job/199294714.shtml
114,python,企,面议,上海,学历不限,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月14日,指玩网络,"<a class=""industry-link"" href=""/company/000-420/"" onclick=""return false;"" target=""_blank"">网络游戏</a>",50-99人,https://www.liepin.com/job/198551510.shtml
115,python开发主管(北京）,企,12-18万,北京-顺义区,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月13日,狮桥物流,"<a class=""industry-link"" href=""/company/000-250/"" onclick=""return false;"" target=""_blank"">交通/物流/运输</a>",100-499人,https://www.liepin.com/job/1910476728.shtml
116,Python 开发工程师,企,10-18万,上海-静安区,本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月13日,patsnap,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",500-999人,https://www.liepin.com/job/199719369.shtml
117,python开发工程师,企,面议,广州-越秀区,本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月13日,中软国际科技,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",1000-2000人,https://www.liepin.com/job/1910873804.shtml
118,python开发工程师,企,18-30万,武汉-洪山区,本科及以上,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月13日,小红书,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910722267.shtml
119,python开发工程师,企,19-29万,深圳-南山区,统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月13日,北京千丁互联科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",500-999人,https://www.liepin.com/job/1910621316.shtml
120,Python算法工程师,企,18-36万,北京-海淀区,统招本科,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年12月01日,北京行数通科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1-49人,https://www.liepin.com/job/1910918129.shtml
121,Python开发工程师,企,12-18万,北京,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年12月01日,洋浦科技,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/198936257.shtml
122,Python资深开发,企,面议,北京,本科及以上,4年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月09日,有缘网,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910824069.shtml
123,python开发工程师,企,面议,北京,统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月06日,华胜信泰信息产业发展有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",100-499人,https://www.liepin.com/job/1910737148.shtml
124,python教学经理/python高级讲师,企,18-24万,北京,大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年10月30日,北京华清远见科技发展有限公司,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910622629.shtml
125,Python后台开发师,企,35-50万,北京,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月20日,招才猫科技（北京）,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",未知,https://www.liepin.com/job/1910554193.shtml
126,Python开发工程师-大数据方向,企,12-24万,北京,本科及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月24日,北京高思博乐教育科技股份有限公司,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",1000-2000人,https://www.liepin.com/job/1910460533.shtml
127,Python后端工程师,企,14-29万,北京,大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年10月09日,复华投资有限公司,"<a class=""industry-link"" href=""/company/000-150/"" onclick=""return false;"" target=""_blank"">基金/证券/期货/投资</a>",50-99人,https://www.liepin.com/job/1910415834.shtml
128,高级测试工程师（会Python或Java）,企,25-50万,北京,统招本科,5年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年09月30日,好未来教育,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",5000-10000人,https://www.liepin.com/job/1910338314.shtml
129,Python服务端开发工程师,企,20-39万,北京,统招本科,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年09月25日,必连科技,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",50-99人,https://www.liepin.com/job/1910265557.shtml
130,Python高级工程师,企,30-54万,北京,统招本科,5年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年10月26日,海天地数码科技,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",50-99人,https://www.liepin.com/job/1910264983.shtml
131,python开发,企,12-24万,北京,统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年09月24日,文思海辉,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",10000人以上,https://www.liepin.com/job/1910255574.shtml
132,Python开发岗,企,面议,深圳,大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月01日,CMGE中手游,"<a class=""industry-link"" href=""/company/000-420/"" onclick=""return false;"" target=""_blank"">网络游戏</a>",1000-2000人,https://www.liepin.com/job/1910115720.shtml
133,高级Python开发,企,24-42万,北京,统招本科,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年09月18日,有利网,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1000-2000人,https://www.liepin.com/job/1910098956.shtml
