,Unnamed: 0,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
42,43,资深运维开发（Python或shell）,猎,40-60万,"上海,北京",本科及以上,4年工作经验,未知,2017年12月11日,国内知名互联网电商,互联网/移动互联网/电子商务,未知,/a/10102229.shtml
43,44,Python工程师,猎,25-40万,"北京,广州,深圳",统招本科,3年工作经验,未知,2017年12月11日,国内上市IT公司,未知,未知,/a/10099349.shtml
44,45,python高级开发工程师,猎,30-60万,深圳,本科及以上,3年工作经验,未知,2017年12月11日,某游戏公司,未知,未知,/a/10092014.shtml
45,46,Analytics （SAS/R/Python）,猎,20-30万,上海,统招本科,经验不限,未知,2017年12月11日,全球著名的TOP管理咨询公司,未知,未知,/a/9424885.shtml
46,47,Python开发,猎,15-30万,上海,大专及以上,1年工作经验,未知,2017年12月11日,某私募基金公司,未知,未知,/a/10082900.shtml
47,48,Python 开发工程师,猎,13-26万,北京,学历不限,5年工作经验,未知,2017年12月11日,某大型风力发电机组研究开发有限公司,未知,未知,/a/10082705.shtml
48,49,高级后端开发工程师（python）,猎,20-50万,"北京,上海,广东省",统招本科,6年工作经验,未知,2017年12月11日,中国知名互联网企业,网络游戏,未知,/a/9055106.shtml
49,50,python 后端,猎,12-20万,成都,本科及以上,4年工作经验,未知,2017年12月11日,成都某科技有限责任公司,未知,未知,/a/10070105.shtml
50,51,高级PHP GO Python工程师,猎,45-75万,北京,统招本科,3年工作经验,未知,2017年12月11日,某明星创业公司,未知,未知,/a/10055750.shtml
51,52,数据抓取（Python开发）,猎,30-50万,北京,统招本科,3年工作经验,未知,2017年12月11日,某知名互联网公司,互联网/移动互联网/电子商务,未知,/a/10050524.shtml
52,53,python开发工程师,猎,30-40万,"上海,北京,杭州",学历不限,2年工作经验,未知,2017年12月11日,知名的音乐互联网公司,未知,未知,/a/9632530.shtml
53,54,python开发,猎,30-60万,北京,统招本科,3年工作经验,未知,2017年12月11日,北京共享领域互联网公司,互联网/移动互联网/电子商务,未知,/a/10034906.shtml
54,55,web/python全栈工程师,猎,15-40万,深圳,统招本科,3年工作经验,未知,2017年12月11日,国内某知名游戏公司,未知,未知,/a/10029848.shtml
55,56,python(django)工程师,猎,20-30万,北京,大专及以上,2年工作经验,未知,2017年12月11日,北京某信息技术有限公司,未知,未知,/a/10032735.shtml
56,57,python工程师（无人车方向）,猎,50-80万,"北京,加利福尼亚州",学历不限,1年工作经验,未知,2017年12月11日,某无人驾驶公司,未知,未知,/a/10032680.shtml
57,58,python开发工程师,猎,25-45万,北京,学历不限,3年工作经验,未知,2017年12月11日,某知名互联网公司,互联网/移动互联网/电子商务,未知,/a/10021755.shtml
58,59,大数据工程师（Java/Python/PHP/C++）,猎,30-60万,北京,统招本科,3年工作经验,未知,2017年12月11日,北京某知名互联网公司,互联网/移动互联网/电子商务,未知,/a/10024679.shtml
59,60,服务器端开发工程师（Go/C++/Python）,猎,40-70万,北京,统招本科,2年工作经验,未知,2017年12月11日,某移动端个性化推荐平台,互联网/移动互联网/电子商务,未知,/a/9611928.shtml
60,61,高级后端工程师（python/Go）,猎,35-65万,北京,本科及以上,2年工作经验,未知,2017年12月11日,某移动端个性化推荐平台,互联网/移动互联网/电子商务,未知,/a/10021676.shtml
61,62,高级Python,猎,20-30万,成都,本科及以上,3年工作经验,未知,2017年12月11日,四川知名上市互联网物流公司,未知,未知,/a/10020879.shtml
62,63,高级软件工程师（Python方向）,猎,20-30万,上海,统招本科,2年工作经验,未知,2017年12月11日,某大型外资MRO工业品分销商,互联网/移动互联网/电子商务,未知,/a/9345405.shtml
63,64,后端工程师（java/python/ruby/PHP）,猎,30-60万,上海,统招本科,3年工作经验,未知,2017年12月11日,国内某著名海购分享社区平台公司,未知,未知,/a/8395112.shtml
64,65,python爬虫工程师,猎,21-35万,上海,统招本科,2年工作经验,未知,2017年12月11日,上海某知名互联网金融公司,未知,未知,/a/9998109.shtml
65,66,python工程师,猎,30-60万,"北京,深圳,杭州",本科及以上,1年工作经验,未知,2017年12月11日,北京某自动驾驶公司,未知,未知,/a/9988585.shtml
66,67,python开发,猎,40-70万,北京,统招本科,3年工作经验,未知,2017年12月11日,D轮移动互联网独角兽公司,互联网/移动互联网/电子商务,未知,/a/9526800.shtml
67,68,python开发,猎,30-60万,北京,统招本科,2年工作经验,未知,2017年12月11日,知名共享单车公司,互联网/移动互联网/电子商务,未知,/a/9983601.shtml
68,69,python后台研发,猎,25-55万,北京,本科及以上,2年工作经验,未知,2017年12月11日,茄子快传,未知,未知,/a/9960258.shtml
69,70,python研发,猎,35-65万,"北京,深圳,成都",统招本科,3年工作经验,未知,2017年12月11日,茄子快传,未知,未知,/a/9954227.shtml
70,71,大数据开发（Java/Python/PHP/C++）,猎,30-60万,北京,统招本科,3年工作经验,未知,2017年12月11日,北京某知名互联网公司,互联网/移动互联网/电子商务,未知,/a/9942980.shtml
71,72,高级python开发工程师,猎,20-30万,上海,学历不限,2年工作经验,未知,2017年12月11日,国内某知名互联网公司,互联网/移动互联网/电子商务,未知,/a/9520125.shtml
72,73,全栈工程师（Python/Reactjs）,猎,50-70万,北京,学历不限,2年工作经验,未知,2017年12月11日,领先人工智能独角兽公司,互联网/移动互联网/电子商务,未知,/a/9949011.shtml
73,74,服务端开发工程师-后台C++/Python/Go,猎,30-60万,北京,统招本科,2年工作经验,未知,2017年12月11日,国内准上市独角兽公司,互联网/移动互联网/电子商务,未知,/a/8621033.shtml
74,75,Software Engineer（C++ and Python）,猎,25-55万,上海,统招本科,2年工作经验,未知,2017年12月11日,全球领先硅谷独角兽VR公司,互联网/移动互联网/电子商务,未知,/a/8412850.shtml
75,76,图像处理工程师-C++/python/机器学习,猎,25-55万,北京,统招本科,2年工作经验,未知,2017年12月11日,国内准上市独角兽公司,互联网/移动互联网/电子商务,未知,/a/8620995.shtml
76,77,Python程序员,企,5-7万,西安,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年11月22日,西安图迹信息科技有限公司,计算机软件,100-499人,https://www.liepin.com/job/1910125130.shtml
77,78,python开发工程师,企,面议,北京,本科及以上,3年工作经验,投递后：2个工作日内反馈,2017年11月22日,北京金风科创风电设备有限公司,新能源,1000-2000人,https://www.liepin.com/job/1910467970.shtml
78,79,python开发工程师,企,面议,上海,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年11月22日,上海微众信息科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/197235217.shtml
79,80,高级后台工程师-Python（大数据&AI）,企,35-63万,深圳-南山区,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月22日,美图公司,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910936087.shtml
80,81,python工程师,企,10-14万,厦门,本科及以上,2年工作经验,投递后：2个工作日内反馈,2017年11月22日,睿视智觉(厦门)软件开发有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910514333.shtml
81,82,Python 开发工程师,企,21-35万,杭州,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年11月22日,新华三集团,计算机硬件/网络设备,5000-10000人,https://www.liepin.com/job/1910442046.shtml
82,83,python工程师,企,24-42万,北京,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年11月21日,百迈客生物科技,制药/生物工程,100-499人,https://www.liepin.com/job/199797520.shtml
83,84,Python开发工程师(长沙),企,7-18万,长沙,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年11月21日,康通电子,电子技术/半导体/集成电路,100-499人,https://www.liepin.com/job/1910455408.shtml
84,85,python开发工程师,企,21-35万,深圳,统招本科,3年工作经验,投递后：2个工作日内反馈,2017年11月21日,和讯华谷,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910468080.shtml
85,86,大数据工程师（Python 爬虫）,企,面议,广州-萝岗区,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月21日,健客网,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/198932334.shtml
86,87,python（成都）,企,12-24万,成都-高新区,统招本科,2年工作经验,投递后：10个工作日内反馈,2017年12月11日,安恒信息技术,计算机软件,500-999人,https://www.liepin.com/job/199053579.shtml
87,88,python开发工程师（爬虫方向）,企,30-42万,上海,大专及以上,5年工作经验,投递后：2个工作日内反馈,2017年11月21日,宝尊电商,互联网/移动互联网/电子商务,2000-5000人,https://www.liepin.com/job/1910981708.shtml
88,89,Python工程师,企,10-20万,苏州-工业园,大专及以上,1年工作经验,投递后：1个工作日内反馈,2017年11月21日,苏州东湾信息科技有限公司,计算机软件,1-49人,https://www.liepin.com/job/1910983051.shtml
89,90,python讲师,企,30-36万,成都-武侯区,大专及以上,经验不限,投递后：5个工作日内反馈,2017年11月21日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910981310.shtml
90,91,Python讲师,企,24-48万,大连,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月21日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910981313.shtml
91,92,python讲师,企,30-36万,广州-天河区,大专及以上,经验不限,投递后：5个工作日内反馈,2017年11月21日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910981311.shtml
92,93,Python讲师,企,24-48万,长沙,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月21日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910981308.shtml
93,94,python讲师,企,30-36万,杭州,大专及以上,经验不限,投递后：5个工作日内反馈,2017年11月21日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910981309.shtml
94,95,python技术总监,企,60-96万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月21日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910968090.shtml
95,96,Python讲师,企,24-48万,北京,本科及以上,2年工作经验,投递后：10个工作日内反馈,2017年11月21日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910968001.shtml
96,97,Python开发工程师,企,18-36万,北京-海淀区,统招本科,2年工作经验,投递后：10个工作日内反馈,2017年11月21日,北京全品文教科技股份有限公司,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/197689199.shtml
97,98,Python老师,企,24-36万,北京,大专及以上,3年工作经验,投递后：10个工作日内反馈,2017年11月20日,北京易联致远无线技术有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910962576.shtml
98,99,python助教老师（项目经理）,企,8-16万,深圳,大专及以上,1年工作经验,投递后：5个工作日内反馈,2017年11月20日,北京千锋互联科技,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/199811546.shtml
99,100,python工程师（中级）,企,面议,北京,统招本科,2年工作经验,投递后：1个工作日内反馈,2017年12月03日,新博卓畅技术(北京)有限公司,计算机软件,100-499人,https://www.liepin.com/job/199649331.shtml
