,Unnamed: 0,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
15,16,实习python开发,企,4-7万,北京,本科及以上,经验不限,投递后：5个工作日内反馈,2017年11月09日,水木控股集团,基金/证券/期货/投资,100-499人,https://www.liepin.com/job/199646237.shtml
16,17,【Python开发】攻城狮,企,11-18万,北京,统招本科,2年工作经验,投递后：1个工作日内反馈,2017年10月27日,北京罗威亚科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910511482.shtml
17,18,Python高级工程师,企,12-18万,北京,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年10月31日,迅达云成,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/199382380.shtml
18,19,python开发工程师,企,面议,北京,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年10月10日,容联易通信息北京,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910424878.shtml
19,20,Python开发工程师,企,18-36万,北京,学历不限,经验不限,投递后：5个工作日内反馈,2017年09月27日,北京爱特曼智能技术有限公司,计算机软件,1-49人,https://www.liepin.com/job/1910266541.shtml
20,21,python工程师,企,14-18万,广州,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年11月03日,多迪互联网集团,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910081449.shtml
21,22,Python 开发工程师,企,12-18万,上海,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年10月30日,上海恒驰信息系统有限公司,IT服务/系统集成,100-499人,https://www.liepin.com/job/199419553.shtml
22,23,Python,企,18-30万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月08日,MeChat美洽,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/197285084.shtml
23,24,python开发工程师（中级）,企,11-22万,上海,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年11月03日,天玑科技,计算机软件,1000-2000人,https://www.liepin.com/job/1910753986.shtml
24,25,Python开发,企,12-18万,广州,大专及以上,1年工作经验,投递后：2个工作日内反馈,2017年11月08日,多迪互联网集团,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910552719.shtml
25,26,服务器开发工程师（Python）-00008,企,18-48万,北京-海淀区,本科及以上,经验不限,投递后：5个工作日内反馈,2017年11月10日,春雨医生,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/194122589.shtml
26,27,python开发工程师,企,面议,北京,统招本科,4年工作经验,投递后：10个工作日内反馈,2017年11月09日,华为,通信(设备/运营/增值),10000人以上,https://www.liepin.com/job/194951040.shtml
27,28,Python 数据科学家,企,18-42万,杭州,本科及以上,经验不限,投递后：5个工作日内反馈,2017年11月06日,杭州七炅信息科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/198717981.shtml
28,29,python工程师,企,20-30万,深圳,本科及以上,3年工作经验,投递后：1个工作日内反馈,2017年11月08日,深圳众禄金融控股股份有限公司,基金/证券/期货/投资,100-499人,https://www.liepin.com/job/1910813952.shtml
29,30,python运营开发高级工程师（深圳）,企,面议,深圳,本科及以上,3年工作经验,投递后：2个工作日内反馈,2017年11月06日,腾讯,互联网/移动互联网/电子商务,10000人以上,https://www.liepin.com/job/1910785370.shtml
30,31,高级Python工程师,企,18-30万,上海,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年11月03日,寻仟信息,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910756679.shtml
31,32,Python交易开发工程师,企,24-35万,深圳,本科及以上,4年工作经验,投递后：10个工作日内反馈,2017年10月31日,盖威科技,计算机软件,100-499人,https://www.liepin.com/job/1910706342.shtml
32,33,后端开发工程师（Python）,企,24-36万,上海,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年11月07日,触宝科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910625116.shtml
33,34,python工程师,企,面议,上海,本科及以上,经验不限,投递后：2个工作日内反馈,2017年10月23日,上海基分文化传播,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910589529.shtml
34,35,运维开发工程师【python / PHP】,企,11-22万,西安,学历不限,2年工作经验,投递后：2个工作日内反馈,2017年11月03日,Yeahmobi,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910455326.shtml
35,36,安全研究院--python开发工程师,企,18-30万,北京,本科及以上,3年工作经验,未知,2017年11月06日,360,互联网/移动互联网/电子商务,2000-5000人,https://www.liepin.com/job/1910454572.shtml
36,37,资深Python开发工程师,企,35-45万,北京,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年10月11日,FreeWheel 飞维美地信息技术(北京)有限公司,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910442826.shtml
37,38,Python开发工程师,企,13-21万,成都,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年10月12日,成都信必优信息技术有限公司,计算机软件,100-499人,https://www.liepin.com/job/1910439666.shtml
38,39,Python开发工程师,企,12-18万,武汉-洪山区,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年10月05日,蓝泰源,IT服务/系统集成,100-499人,https://www.liepin.com/job/1910380384.shtml
39,40,高级自动化测试（Python/Java，国外项目）,企,16-21万,成都,本科及以上,5年工作经验,投递后：5个工作日内反馈,2017年09月29日,成都信必优信息技术有限公司,计算机软件,100-499人,https://www.liepin.com/job/1910327463.shtml
40,41,python高级讲师,企,18-24万,北京,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年10月24日,北京华清远见科技发展有限公司,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910300796.shtml
41,42,Python高级开发工程师,企,24-36万,上海,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年10月31日,小水滴,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910300753.shtml
42,43,Python后端,企,12-18万,苏州-工业园,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年11月08日,爱调研,专业服务(咨询/财会/法律/翻译等),100-499人,https://www.liepin.com/job/1910272856.shtml
43,44,Python/Go开发工程师-北京-00395,企,12-30万,北京-海淀区,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年09月24日,北京比特大陆科技有限公司,电子技术/半导体/集成电路,100-499人,https://www.liepin.com/job/1910260148.shtml
44,45,python开发,企,12-24万,西安-高新区,统招本科,2年工作经验,投递后：10个工作日内反馈,2017年09月24日,文思海辉,计算机软件,10000人以上,https://www.liepin.com/job/1910255575.shtml
45,46,资深Python服务端研发工程师,企,面议,杭州,本科及以上,2年工作经验,投递后：10个工作日内反馈,2017年09月19日,新华智云科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910194596.shtml
