,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
1,python开发工程师,企,14-25万,成都,本科及以上,3年工作经验,投递后：2个工作日内反馈,2017年12月11日,钱方好近,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199478825.shtml
2,Python开发工程师,企,18-30万,北京-朝阳区,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月11日,北京我最在行信息技术有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910775111.shtml
3,高级Python开发工程师,企,面议,上海,统招本科,5年工作经验,投递后：5个工作日内反馈,2017年12月11日,优刻得,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910870763.shtml
4,自动化测试工程师（Python 编号02N）,企,12-20万,上海,大专及以上,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,上海复深蓝软件股份有限公司,计算机软件,500-999人,https://www.liepin.com/job/1911097677.shtml
5,Python后端工程师,企,24-36万,北京,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,北京山茶花科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910546568.shtml
6,python研发工程师(vmware...,企,18-36万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,首都在线,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199761076.shtml
7,Python Engineer,企,12-18万,上海,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月11日,寻仟信息,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910634626.shtml
8,Python工程师,企,12-24万,上海,统招本科,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,米飞网络,通信(设备/运营/增值),50-99人,https://www.liepin.com/job/197820447.shtml
9,Python研发工程师,企,18-30万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,北京升哲科技有限公司,计算机硬件/网络设备,100-499人,https://www.liepin.com/job/1910845676.shtml
10,Python高级开发工程师（模拟请求方向）,企,16-31万,北京,大专及以上,1年工作经验,投递后：1个工作日内反馈,2017年12月11日,北京博派通达科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910817612.shtml
11,PHP开发工程师（会Python）,企,面议,上海,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,好体科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/197301528.shtml
12,Python 高级开发工程师,企,28-56万,北京,统招本科,2年工作经验,投递后：2个工作日内反馈,2017年12月11日,旷视科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/198847440.shtml
13,Python 开发工程师,企,30-60万,北京,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年12月11日,北京思维造物信息科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199299604.shtml
14,"Software Engineer_Python/C,C++/EDA",企,面议,上海,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年12月11日,新思科技,电子技术/半导体/集成电路,5000-10000人,https://www.liepin.com/job/194140728.shtml
15,python开发工程师,企,10-22万,杭州,大专及以上,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,杭州沃趣科技股份有限公司,IT服务/系统集成,50-99人,https://www.liepin.com/job/196674979.shtml
16,python开发工程师（C）,企,7-10万,上海,本科及以上,2年工作经验,投递后：10个工作日内反馈,2017年12月11日,寻仟信息,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910975719.shtml
17,Python开发工程师（自动化测试方向）,企,面议,上海,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,东方明珠新媒体,互联网/移动互联网/电子商务,2000-5000人,https://www.liepin.com/job/1910919340.shtml
18,Python工程师,企,7-14万,长沙,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,康通电子,电子技术/半导体/集成电路,100-499人,https://www.liepin.com/job/1910887741.shtml
19,python开发工程师,企,16-23万,上海,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月11日,亮昕网络,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910720024.shtml
20,Python 开发工程师,企,12-18万,上海,大专及以上,1年工作经验,投递后：10个工作日内反馈,2017年12月11日,两鲜网超,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910560533.shtml
21,python开发工程师（爬虫方向）,企,18-24万,上海,大专及以上,2年工作经验,投递后：1个工作日内反馈,2017年12月11日,杭州数云信息技术有限公司上海分公司,计算机软件,100-499人,https://www.liepin.com/job/1910341671.shtml
22,Python开发工程师,企,13-22万,上海,本科及以上,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,晨光文具,食品/饮料/烟酒/日化,5000-10000人,https://www.liepin.com/job/197793945.shtml
23,python开发工程师,企,11-14万,上海,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,达而观信息科技(上海)有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911090360.shtml
