,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
1,Python开发工程师,企,14-21万,成都,本科及以上,4年工作经验,投递后：10个工作日内反馈,2017年12月06日,成都萌想科技有限责任公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/198430244.shtml
2,Web(JS/Python),企,13-26万,上海-长宁区,本科及以上,1年工作经验,投递后：10个工作日内反馈,2017年12月06日,瞬联软件科技,计算机软件,1000-2000人,https://www.liepin.com/job/199078700.shtml
3,python开发工程师,企,20-39万,北京-海淀区,大专及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月06日,北京必然如此网络技术有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911081405.shtml
4,Python研发工程师,企,14-30万,上海,学历不限,2年工作经验,投递后：5个工作日内反馈,2017年12月06日,复星高科技,全部行业,1000-2000人,https://www.liepin.com/job/198112133.shtml
5,PHP/Python 高级开发工程师,企,面议,北京,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月06日,京东,互联网/移动互联网/电子商务,10000人以上,https://www.liepin.com/job/1911201947.shtml
6,Python,企,13-26万,上海-长宁区,本科及以上,经验不限,投递后：10个工作日内反馈,2017年12月06日,瞬联软件科技,计算机软件,1000-2000人,https://www.liepin.com/job/199078618.shtml
7,高级Python工程师,企,12-36万,上海-浦东新区,学历不限,3年工作经验,投递后：1个工作日内反馈,2017年12月06日,NEXTTAO,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/194943498.shtml
8,Python服务端开发工程师,企,24-40万,杭州,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月06日,网易集团,互联网/移动互联网/电子商务,10000人以上,https://www.liepin.com/job/1910968429.shtml
9,python开发工程师,企,14-21万,北京,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月06日,华腾创源(北京)科技发展有限公司,基金/证券/期货/投资,未知,https://www.liepin.com/job/1911207726.shtml
10,Python 研发工程师,企,13-24万,上海-浦东新区,学历不限,3年工作经验,投递后：5个工作日内反馈,2017年12月06日,店达信息,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1911205165.shtml
11,python开发工程师,企,9-18万,武汉-洪山区,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月06日,北京博睿宏远公司官网,IT服务/系统集成,100-499人,https://www.liepin.com/job/1911204634.shtml
12,信息安全工程师（Python开发）,企,面议,深圳,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年12月06日,大疆创新,通信(设备/运营/增值),2000-5000人,https://www.liepin.com/job/198628008.shtml
13,Python后端,企,18-36万,北京-朝阳区,统招本科,5年工作经验,投递后：2个工作日内反馈,2017年12月06日,北京文脉互动科技有限公司,网络游戏,100-499人,https://www.liepin.com/job/1911199451.shtml
14,架构师(Python技术架构),企,22-48万,上海,统招本科,5年工作经验,投递后：5个工作日内反馈,2017年12月06日,NEXTTAO,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911131521.shtml
15,python技术经理,企,28-42万,北京-朝阳区,本科及以上,5年工作经验,投递后：1个工作日内反馈,2017年12月06日,元贞佑方(北京)科技发展有限公司,专业服务(咨询/财会/法律/翻译等),1-49人,https://www.liepin.com/job/1911081733.shtml
