,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
50,高级移动应用研发工程师（Android & iOS）,企,面议,成都,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月21日,亚信科技,通信(设备/运营/增值),10000人以上,https://www.liepin.com/job/1911222434.shtml
51,高级移动应用研发工程师（Android & iOS）,企,面议,南京,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月21日,亚信科技,通信(设备/运营/增值),10000人以上,https://www.liepin.com/job/1911222433.shtml
52,iOS开发工程师,企,12-18万,杭州-余杭区,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月21日,浙江纵横新创科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1911219591.shtml
53,苹果(ios)开发工程师,企,10-11万,北京-海淀区,学历不限,1年工作经验,投递后：10个工作日内反馈,2017年12月21日,北京亿点时代科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/193421210.shtml
54,IOS软件开发工程师,企,12-20万,上海,学历不限,经验不限,投递后：2个工作日内反馈,2017年12月21日,上海闪店联,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/197169787.shtml
55,资深iOS开发工程师,企,面议,上海,本科及以上,5年工作经验,投递后：10个工作日内反馈,2017年12月21日,巨人网络,网络游戏,2000-5000人,https://www.liepin.com/job/1911182330.shtml
56,iOS开发工程师J10335,企,14-28万,杭州,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,杭州坤盛资产管理有限公司(分支机构),基金/证券/期货/投资,100-499人,https://www.liepin.com/job/1911178447.shtml
57,ios开发工程师,企,12-18万,北京,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月21日,世华万向资讯(北京)有限公司,影视/媒体/艺术/文化/出版,100-499人,https://www.liepin.com/job/192928482.shtml
58,iOS资深研发工程师-海浪事业部(J170526091),企,25-35万,上海-普陀区,本科及以上,5年工作经验,未知,2017年12月21日,滴滴出行,互联网/移动互联网/电子商务,5000-10000人,https://www.liepin.com/job/1911162679.shtml
59,ios开发工程师,企,7-11万,厦门,大专及以上,2年工作经验,投递后：2个工作日内反馈,2017年12月21日,厦门江莎科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1911073195.shtml
60,IOS高级开发工程师,企,18-36万,上海,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,全民TV,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911123518.shtml
61,资深ios开发工程师,企,18-30万,上海,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,跃橙信息科技(上海)有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911118595.shtml
62,ios开发工程师,企,13-21万,广州,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月21日,浩云科技股份有限公司,计算机软件,1000-2000人,https://www.liepin.com/job/199701838.shtml
63,IOS/Android高手,企,28-56万,深圳,统招本科,经验不限,投递后：5个工作日内反馈,2017年12月21日,珠海凡泰极客科技有限责任公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/197894445.shtml
64,IOS开发工程师,企,7-10万,佛山-顺德区,大专及以上,1年工作经验,投递后：10个工作日内反馈,2017年12月21日,广东百姓家网络科技股份有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911106250.shtml
65,IOS开发,企,面议,杭州,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,杭州市民卡,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/194786375.shtml
66,APP自动化测试工程师（ios、android）,企,17-24万,上海,本科及以上,4年工作经验,投递后：10个工作日内反馈,2017年12月21日,Wicresoft,IT服务/系统集成,2000-5000人,https://www.liepin.com/job/1910983224.shtml
67,高级IOS开发工程师,企,面议,上海,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,Wicresoft,IT服务/系统集成,2000-5000人,https://www.liepin.com/job/1910873317.shtml
68,IOS开发工程师,企,10-18万,南京-建邺区,本科及以上,2年工作经验,投递后：1个工作日内反馈,2017年12月21日,深圳宁泽金融科技有限公司,基金/证券/期货/投资,1-49人,https://www.liepin.com/job/1911081290.shtml
69,iOS开发工程师,企,10-14万,成都,大专及以上,5年工作经验,投递后：1个工作日内反馈,2017年12月21日,四川睿盈源科技有限责任公司,计算机软件,1-49人,https://www.liepin.com/job/1911077804.shtml
70,IOS高级开发工程师,企,16-26万,武汉,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,木仓科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/192927201.shtml
71,iOS工程师,企,18-24万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,盈泰财富云,基金/证券/期货/投资,500-999人,https://www.liepin.com/job/1911059245.shtml
72,ios开发工程师,企,12-18万,深圳,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,深圳前海全盈科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1911029206.shtml
73,ios开发（金服）,企,16-26万,杭州-上城区,统招本科,3年工作经验,投递后：2个工作日内反馈,2017年12月21日,新光控股集团,其他,2000-5000人,https://www.liepin.com/job/1911015232.shtml
74,IOS工程师,企,12-24万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,潞盈科贸(北京)有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/199365069.shtml
75,iOS工程师,企,面议,淄博,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,国金汽车,汽车/摩托车,1000-2000人,https://www.liepin.com/job/1911010928.shtml
76,（电商）IOS开发工程师,企,10-18万,南京-玄武区,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,福中集团,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1911010864.shtml
77,软件工程师-iOS应用,企,15-28万,深圳,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,PhiCloud斐讯云,通信(设备/运营/增值),2000-5000人,https://www.liepin.com/job/197364217.shtml
78,ios开发工程师,企,面议,深圳,大专及以上,2年工作经验,投递后：2个工作日内反馈,2017年12月21日,深圳智搜科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910978893.shtml
79,手机端开发工程师（Android、iOS）,企,5-11万,呼和浩特,大专及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月21日,泛微北方大区,计算机软件,1000-2000人,https://www.liepin.com/job/194663018.shtml
80,IOS/Android架构师,企,30-60万,上海,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年12月21日,Wicresoft,IT服务/系统集成,2000-5000人,https://www.liepin.com/job/1910962243.shtml
81,ios开发高级工程师,企,18-24万,广州,本科及以上,4年工作经验,投递后：2个工作日内反馈,2017年12月21日,数字人健康,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/198557140.shtml
82,高级软件工程师（iOS）-GJKK,企,面议,深圳-南山区,统招本科,4年工作经验,投递后：5个工作日内反馈,2017年12月21日,深圳瀚德金融科技控股有限公司,基金/证券/期货/投资,100-499人,https://www.liepin.com/job/1910939968.shtml
83,高级iOS研发工程师,企,面议,北京-海淀区,本科及以上,5年工作经验,未知,2017年12月21日,今日头条,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/1910934989.shtml
84,IOS开发工程师,企,12-24万,天津,本科及以上,5年工作经验,投递后：2个工作日内反馈,2017年12月21日,天津易凡生物技术有限公司,医疗/保健/美容/卫生服务,50-99人,https://www.liepin.com/job/1910930868.shtml
