,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
1,IOS开发工程师,企,7-10万,珠海-香洲区,大专及以上,1年工作经验,投递后：10个工作日内反馈,2017年12月20日,珠海龙轩科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1911317046.shtml
2,ios高级开发工程师,企,12-18万,上海,大专及以上,1年工作经验,投递后：10个工作日内反馈,2017年12月20日,上海乐蜀网络科技股份有限公司,网络游戏,100-499人,https://www.liepin.com/job/1911238585.shtml
3,高级iOS开发工程师,企,12-24万,杭州-西湖区,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月20日,涂鸦智能,计算机软件,100-499人,https://www.liepin.com/job/1911185586.shtml
4,iOS开发工程师,企,14-24万,北京,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月20日,圣旦食品有限公司,食品/饮料/烟酒/日化,华贸中心,https://www.liepin.com/job/1911183822.shtml
5,ios工程师,企,14-29万,北京,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月20日,奥鹏,教育/培训/学术/科研/院校,1000-2000人,https://www.liepin.com/job/1911173130.shtml
6,IOS研发工程师,企,4-10万,长春-高新区,大专及以上,1年工作经验,投递后：2个工作日内反馈,2017年12月20日,吉林省金港计算机网络有限公司,计算机软件,1-49人,https://www.liepin.com/job/1911129857.shtml
7,iOS开发工程师,企,5-10万,东莞,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月20日,东莞市奥马实业投资有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1911115826.shtml
8,ios开发工程师,企,12-18万,金华,统招本科,3年工作经验,投递后：10个工作日内反馈,2017年12月20日,金华比奇,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/1911116503.shtml
9,ios开发工程师,企,14-28万,湖北省,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月20日,趣米(武汉)科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911065509.shtml
10,ios高级开发工程师,企,30-60万,北京,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月20日,北京音娱时光科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911028326.shtml
